coorte,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,TEST
2013,57,57,30,31,2014-06-12,30,2014-07-10,28,2014-06-17,30,2014-06-27,30,2014-09-10,0,0000-00-00,19
2013,48,48,26,26,2014-07-17,27,2014-06-12,27,2014-09-03,25,2014-06-10,0,0000-00-00,0,0000-00-00,15
2013,24,21,27,0,0000-00-00,0,0000-00-00,0,0000-00-00,29,2014-06-10,24,2014-07-02,0,2014-04-17,14
2013,51,48,29,29,2014-07-17,25,2014-06-12,30,2014-09-02,30,2014-06-10,0,0000-00-00,0,2014-02-25,18
2013,57,57,28,30,2014-06-11,25,2014-07-10,28,2014-06-17,30,2014-06-27,28,2014-07-30,0,0000-00-00,17
2013,36,36,24,24,2014-06-12,0,0000-00-00,23,2014-09-03,26,2014-09-09,0,0000-00-00,0,0000-00-00,13
2013,24,24,27,25,2014-09-12,0,0000-00-00,0,0000-00-00,29,2014-09-09,0,0000-00-00,0,0000-00-00,13
2013,39,36,23,25,2014-06-11,18,2014-07-24,0,0000-00-00,27,2014-07-23,0,0000-00-00,0,2014-09-10,12
2013,51,48,27,27,2014-06-12,24,2014-09-15,28,2014-07-08,30,2014-07-23,0,0000-00-00,0,2014-04-08,12
2013,36,36,24,26,2014-06-12,0,0000-00-00,21,2014-09-03,26,2014-09-09,0,0000-00-00,0,0000-00-00,17
2013,36,36,24,26,2014-06-12,0,0000-00-00,26,2014-07-29,20,2014-09-09,0,0000-00-00,0,0000-00-00,13
2013,24,24,27,26,2014-07-17,0,0000-00-00,27,2014-09-03,0,0000-00-00,0,0000-00-00,0,0000-00-00,17
2013,15,12,23,0,0000-00-00,0,0000-00-00,0,0000-00-00,23,2014-09-09,0,0000-00-00,0,2014-06-30,10
2013,60,57,25,25,2014-06-13,18,2014-09-15,26,2014-09-03,30,2014-07-23,27,2014-07-02,0,2014-04-15,18
2013,27,24,25,25,2014-06-12,0,0000-00-00,25,2014-09-03,0,0000-00-00,0,0000-00-00,0,2014-02-14,15
2013,51,48,27,27,2014-06-11,27,2014-06-12,24,2014-09-03,28,2014-07-23,0,0000-00-00,0,2014-02-14,18
2013,48,45,27,30,2014-06-12,0,0000-00-00,27,2014-06-17,29,2014-06-27,21,2014-07-29,0,2014-03-25,13
2013,39,36,23,28,2014-06-11,18,2014-07-10,0,0000-00-00,24,2014-09-09,0,0000-00-00,0,2014-04-17,16
2013,36,33,21,20,2014-07-17,0,0000-00-00,0,0000-00-00,26,2014-09-09,18,2014-07-03,0,2014-09-16,15
