Instance_number,coorte,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,TEST,Cluster
0.346032,0.4,0.555556,0.588235,0.538462,0.870968,2013-07-26,0,0000-00-00,0.870968,2013-07-31,0.709677,2013-09-19,0,0000-00-00,0,0000-00-00,0.4,2
0.349206,0.4,0.555556,0.588235,0.615385,0.83871,2013-09-19,0,0000-00-00,0.903226,2013-09-23,0.806452,2013-07-18,0,0000-00-00,0,0000-00-00,0.68,2
0.352381,0.4,1,1,0.615385,0.806452,2013-06-21,0.870968,2013-09-19,0.83871,2013-06-20,0.870968,2013-07-18,0.774194,2013-07-31,0,2013-10-29,0.64,0
0.355556,0.4,0.777778,0.764706,0.692308,0.967742,2013-07-11,0,0000-00-00,0.709677,2013-07-18,0.903226,2013-06-27,0.870968,2013-07-30,0,2013-05-06,0.6,2
0.35873,0.4,0.611111,0.588235,0.307692,0.645161,2013-09-19,0,0000-00-00,0.83871,2013-09-23,0.645161,2013-07-18,0,0000-00-00,0,2013-05-14,0.32,2
0.361905,0.6,0.944444,1,0.923077,1,2014-06-12,0.967742,2014-07-10,0.903226,2014-06-17,0.967742,2014-06-27,0.967742,2014-09-10,0,0000-00-00,0.76,0
0.365079,0.6,0.777778,0.823529,0.615385,0.83871,2014-07-17,0.870968,2014-06-12,0.870968,2014-09-03,0.806452,2014-06-10,0,0000-00-00,0,0000-00-00,0.6,0
0.368254,0.6,0.333333,0.294118,0.692308,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.935484,2014-06-10,0.774194,2014-07-02,0,2014-04-17,0.56,1
0.371429,0.6,0.833333,0.823529,0.846154,0.935484,2014-07-17,0.806452,2014-06-12,0.967742,2014-09-02,0.967742,2014-06-10,0,0000-00-00,0,2014-02-25,0.72,0
0.374603,0.6,0.944444,1,0.769231,0.967742,2014-06-11,0.806452,2014-07-10,0.903226,2014-06-17,0.967742,2014-06-27,0.903226,2014-07-30,0,0000-00-00,0.68,0
0.377778,0.6,0.555556,0.588235,0.461538,0.774194,2014-06-12,0,0000-00-00,0.741935,2014-09-03,0.83871,2014-09-09,0,0000-00-00,0,0000-00-00,0.52,2
0.380952,0.6,0.333333,0.352941,0.692308,0.806452,2014-09-12,0,0000-00-00,0,0000-00-00,0.935484,2014-09-09,0,0000-00-00,0,0000-00-00,0.52,1
0.384127,0.6,0.611111,0.588235,0.384615,0.806452,2014-06-11,0.580645,2014-07-24,0,0000-00-00,0.870968,2014-07-23,0,0000-00-00,0,2014-09-10,0.48,1
0.387302,0.6,0.833333,0.823529,0.692308,0.870968,2014-06-12,0.774194,2014-09-15,0.903226,2014-07-08,0.967742,2014-07-23,0,0000-00-00,0,2014-04-08,0.48,0
0.390476,0.6,0.555556,0.588235,0.461538,0.83871,2014-06-12,0,0000-00-00,0.677419,2014-09-03,0.83871,2014-09-09,0,0000-00-00,0,0000-00-00,0.68,2
0.393651,0.6,0.555556,0.588235,0.461538,0.83871,2014-06-12,0,0000-00-00,0.83871,2014-07-29,0.645161,2014-09-09,0,0000-00-00,0,0000-00-00,0.52,2
0.396825,0.6,0.333333,0.352941,0.692308,0.83871,2014-07-17,0,0000-00-00,0.870968,2014-09-03,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.68,2
0.4,0.6,0.166667,0.117647,0.384615,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.741935,2014-09-09,0,0000-00-00,0,2014-06-30,0.4,1
0.403175,0.6,1,1,0.538462,0.806452,2014-06-13,0.580645,2014-09-15,0.83871,2014-09-03,0.967742,2014-07-23,0.870968,2014-07-02,0,2014-04-15,0.72,0
0.406349,0.6,0.388889,0.352941,0.538462,0.806452,2014-06-12,0,0000-00-00,0.806452,2014-09-03,0,0000-00-00,0,0000-00-00,0,2014-02-14,0.6,2
0.409524,0.6,0.833333,0.823529,0.692308,0.870968,2014-06-11,0.870968,2014-06-12,0.774194,2014-09-03,0.903226,2014-07-23,0,0000-00-00,0,2014-02-14,0.72,0
